la_code,la_name,relief_per_1000_residents
E06000044,Portsmouth,2.8135367042893606
E08000004,Oldham,2.7309588169820325
E06000006,Halton,2.531491603506078
E06000009,Blackpool,2.2747605606452552
E06000018,Nottingham,2.2411704829994235
E07000109,Gravesham,2.1505182026005008
E08000026,Coventry,2.1353508966847867
E08000006,Salford,2.0961582888281898
E07000081,Gloucester,2.092382285458665
E08000003,Manchester,2.0791290043583697
E06000055,Bedford,1.743804365665518
E07000061,Eastbourne,1.6689206687192473
E06000047,Durham,1.646806477934466
E06000010,Kingston upon Hull,1.6376120638632394
E07000062,Hastings,1.6005437463686294
E08000023,South Tyneside,1.5852780511648492
E06000032,Luton,1.5809946045422223
E08000027,Dudley,1.572620733287139
E07000117,Burnley,1.521671218243931
E06000035,Medway Towns,1.520561753600656
