la_name,rank_per_residents,rank_per_dwellings,rank_change
Oxford,131.0,96.0,-35.0
Birmingham,95.0,66.0,-29.0
Slough,71.0,45.0,-26.0
Sandwell,179.0,154.0,-25.0
Oadby & Wigston,118.0,94.0,-24.0
Thurrock,121.0,98.0,-23.0
Leicester,46.0,23.0,-23.0
Epsom & Ewell,162.0,141.0,-21.0
Bradford,124.0,104.0,-20.0
Wokingham,165.0,146.0,-19.0
Crawley,61.0,42.0,-19.0
Walsall,212.0,193.0,-19.0
Dartford,82.0,64.0,-18.0
Watford,137.0,121.0,-16.0
Buckinghamshire,203.0,187.0,-16.0
